Sprint,Sprint Name,Story ID,Story,Description,Specific Acceptance,Modules,Dependencies
01,"Segurança interna, cervejaria e acesso",SEC-001,Usuários e ciclo da conta,"Cadastrar, convidar, verificar, ativar, bloquear e desativar contas internas.",E-mail normalizado é único; convite é de uso único; mudança crítica é auditada; desativação revoga sessões.,"security, brewery",Sprint 00
01,"Segurança interna, cervejaria e acesso",SEC-002,Login e sessão segura,Autenticar credenciais e criar sessão opaca no PostgreSQL com cookie seguro.,Cookie __Host- é HttpOnly/Secure/SameSite; CSRF ativo; sessão gira no login e elevação; logout revoga servidor e cliente.,"security, brewery",Sprint 00
01,"Segurança interna, cervejaria e acesso",SEC-003,Política e histórico de senha,"Aplicar encoder adaptativo, blocklist de senhas comprometidas e histórico configurável.",Senha nunca é logada; erro é genérico; política aceita Unicode e frases; não há expiração periódica sem indício de comprometimento.,"security, brewery",Sprint 00
01,"Segurança interna, cervejaria e acesso",SEC-004,"Grupos, domínios e permissões",Criar catálogo hierárquico de ações e grupos que agregam permissões.,Negação por padrão; menor privilégio; alteração é auditada; grupo não concede ação inexistente/inativa.,"security, brewery",Sprint 00
01,"Segurança interna, cervejaria e acesso",SEC-005,Escopos de acesso,"Restringir concessões por cervejaria, módulo e recurso quando necessário.",brewery_id do corpo não é autoridade; tenant cruzado é negado; RBAC e escopo são avaliados no caso de uso.,"security, brewery",Sprint 00
01,"Segurança interna, cervejaria e acesso",SEC-006,"Sessões, dispositivos e histórico de login","Listar sessões/dispositivos, revogar uma ou todas e registrar tentativas de acesso.",Usuário encerra sessões; admin atua somente com permissão; histórico mascara IP/UA conforme retenção e não expõe sessão.,"security, brewery",Sprint 00
01,"Segurança interna, cervejaria e acesso",SEC-007,Auditoria de segurança,"Registrar eventos append-only de autenticação, autorização e administração.","Evento contém ator, alvo, resultado, motivo, trace e diff mascarado; nunca contém senha, token ou segredo MFA.","security, brewery",Sprint 00
01,"Segurança interna, cervejaria e acesso",SEC-008,Acesso temporário,"Conceder permissão/escopo com justificativa, vigência, aprovação e revogação.",Acesso expira automaticamente; concessão crítica pode exigir dupla aprovação; uso e revogação são auditados.,"security, brewery",Sprint 00
01,"Segurança interna, cervejaria e acesso",SEC-009,"MFA, passkeys e recuperação","Oferecer WebAuthn/passkeys preferencialmente, TOTP alternativo e códigos de recuperação.",Admin exige MFA; recuperação não usa pergunta secreta; códigos são hash/single-use; alteração de fator exige reautenticação recente.,"security, brewery",Sprint 00
01,"Segurança interna, cervejaria e acesso",SEC-010,Recuperação e verificação de conta,"Implementar confirmação de e-mail e redefinição por token aleatório, curto e de uso único.",Resposta/timing não enumeram usuário; token é armazenado por hash; reset não autentica automaticamente e pode revogar sessões.,"security, brewery",Sprint 00
01,"Segurança interna, cervejaria e acesso",SEC-011,Credenciais de serviço e API keys,"Criar identidades técnicas com chaves escopadas, expiração, rotação e revogação.",Segredo aparece uma vez; banco guarda hash/prefixo; toda chamada é atribuível; chave humana não é reutilizada por integração.,"security, brewery",Sprint 00
01,"Segurança interna, cervejaria e acesso",SEC-012,Proteção e alertas,Aplicar limitação progressiva por conta/IP/dispositivo e detectar eventos de risco.,"Credential stuffing é desacelerado; bloqueio não vira DoS permanente; alertas têm severidade, estado e evidência sem dado sensível.","security, brewery",Sprint 00
01,"Segurança interna, cervejaria e acesso",SEC-013,Revisão de acessos e segregação,Revisar periodicamente privilégios e impedir combinações críticas configuradas.,Revisão tem responsável/prazo/evidência; acesso órfão é removido; exceção tem justificativa e validade.,"security, brewery",Sprint 00
01,"Segurança interna, cervejaria e acesso",SEC-014,Federação SAML 2.0,Configurar o sistema como Service Provider/Relying Party para SSO corporativo.,"Metadata/certificados são validados e rotacionáveis; assertion verifica issuer/audience/destination/tempo/assinatura; identidade liga por provider+subject, nunca por e-mail isolado.","security, brewery",Sprint 00
01,"Segurança interna, cervejaria e acesso",SEC-015,Federação OpenID Connect,Adicionar login OIDC por Authorization Code para provedores modernos.,"Discovery, state, nonce, PKCE e redirect exato são validados; issuer+sub identifica a conta; login termina em sessão interna.","security, brewery",Sprint 00
01,"Segurança interna, cervejaria e acesso",SEC-016,SCIM e diretório corporativo,Provisionar usuários/grupos por SCIM 2.0 e oferecer LDAP/AD somente como adapter legado.,Desprovisionamento revoga sessões; grupo externo passa por allowlist; SCIM é idempotente; LDAP usa TLS e bind de menor privilégio.,"security, brewery",Sprint 00
02,"Catálogo, equipamentos e água",CAT-001,Ingredientes tipados,"Cadastrar maltes, lúpulos, leveduras, sais, adjuntos e embalagens.",Campos específicos por tipo; unidade de uso e compra são validadas.,"catalog, equipment, water",Sprint 01
02,"Catálogo, equipamentos e água",EQP-001,Perfil de equipamento,"Cadastrar capacidade, perdas, eficiência e evaporação.",Volume acima da capacidade é rejeitado; histórico preserva versão.,"catalog, equipment, water",Sprint 01
02,"Catálogo, equipamentos e água",EQP-002,Manutenção e calibração,Planejar indisponibilidade e instrumentos associados.,Equipamento indisponível não pode ser reservado.,"catalog, equipment, water",Sprint 01
02,"Catálogo, equipamentos e água",WTR-001,Fontes e laudos,"Registrar composição, data, método e origem da água.",Íons/unidades válidos; laudo antigo permanece disponível.,"catalog, equipment, water",Sprint 01
02,"Catálogo, equipamentos e água",WTR-002,Perfil e mistura de água,Simular combinação de fontes e alvo mineral.,Balanço fecha; resultado informa entradas e método.,"catalog, equipment, water",Sprint 01
03,Receitas e motor de cálculos,REC-001,Criar receita,"Montar composição, equipamento, metas e processo completo.",Itens possuem unidade/etapa; capacidade e percentuais são validados.,"recipe, water, catalog, equipment",Sprint 02
03,Receitas e motor de cálculos,REC-002,Motor de volumes,"Calcular água, absorção, evaporação, perdas e volume final.",Dataset dourado passa; balanço mostra cada parcela.,"recipe, water, catalog, equipment",Sprint 02
03,Receitas e motor de cálculos,REC-003,Metas cervejeiras,"Calcular OG, FG, ABV, IBU, cor e atenuação.",Método e versão são persistidos; tolerância é explícita.,"recipe, water, catalog, equipment",Sprint 02
03,Receitas e motor de cálculos,REC-004,Publicar versão,Congelar fórmula e impedir edição posterior.,Alteração gera nova versão; OP antiga continua com snapshot.,"recipe, water, catalog, equipment",Sprint 02
03,Receitas e motor de cálculos,REC-005,"Clonar, escalar e comparar",Recalcular por volume/eficiência e comparar versões.,Escala respeita capacidade; diferenças são listadas por campo.,"recipe, water, catalog, equipment",Sprint 02
03,Receitas e motor de cálculos,REC-006,Importar/exportar,Suportar BeerXML/BeerJSON com relatório de compatibilidade.,Importação inválida não persiste; campos desconhecidos são reportados.,"recipe, water, catalog, equipment",Sprint 02
04,Dados de referência e interoperabilidade,CAL-001,Hub de calculadoras,Centralizar calculadoras de formulação e água no motor do domínio.,"Método, versão, entradas, unidades, tolerância e datasets dourados ficam disponíveis.","recipe, water, calculation",Sprints 02 e 03
04,Dados de referência e interoperabilidade,CAT-003,Catálogos técnicos ampliados,"Enriquecer maltes, lúpulos, culturas e adjuntos com propriedades e fontes.",Valor de safra/lote não é confundido com faixa global; equivalência é explicada.,"reference-data, catalog",REF-002
04,Dados de referência e interoperabilidade,REC-007,BeerJSON 1.0,Importar e exportar pelo contrato canônico externo.,"Schema, prévia, idempotência e round-trip passam; extensões usam namespace próprio.","recipe, integration",REF-002
04,Dados de referência e interoperabilidade,REC-008,BeerXML 1.0 legado,Oferecer compatibilidade segura com relatório de perda semântica.,Parser bloqueia XXE; campos ignorados e perdas são apresentados.,"recipe, integration",REC-007
04,Dados de referência e interoperabilidade,REC-009,Formulação guiada,"Comparar intenção, estilo, equipamento e metas.",Sugestões determinísticas são explicadas e não alteram publicação silenciosamente.,"recipe, reference-data",STD-001 e CAT-003
04,Dados de referência e interoperabilidade,REC-010,Substituições explicáveis,Ranquear alternativas por propriedades técnicas e disponibilidade.,"Diferenças, fonte, confiança e impacto são exibidos; aplicação exige confirmação.","recipe, catalog, inventory-port",CAT-003
04,Dados de referência e interoperabilidade,REF-001,"Fontes, licenças e proveniência","Registrar origem, versão, permissão, atribuição, checksum e vigência.",Conteúdo sem permissão não é publicado; origem e versão ficam visíveis e auditáveis.,"reference-data, audit",Sprints 02 e 03
04,Dados de referência e interoperabilidade,REF-002,Pipeline de curadoria,"Executar staging, validação, normalização, revisão e publicação.",Falha não persiste parcialmente; publicação exige confirmação e rollback não apaga histórico.,"reference-data, catalog",REF-001
04,Dados de referência e interoperabilidade,STD-001,Estilos versionados,"Suportar BJCP, Brewers Association e perfis internos por edição.",Licença limita conteúdo; receita preserva snapshot; fora da faixa gera aviso.,"reference-data, recipe",REF-001 e REF-002
04,Dados de referência e interoperabilidade,WTR-003,Água e laudos versionados,"Separar fonte, laudo, alvo, mistura e tratamento.",Balanço iônico e proveniência são visíveis; receita guarda snapshot.,"reference-data, water",REF-002
05,Planejamento e ordens,BOP-001,Criar ordem,Gerar OP com snapshot e código único.,Somente receita publicada; snapshot contém cálculo/equipamento.,"planning, recipe, equipment, inventory",Sprint 03
05,Planejamento e ordens,BOP-002,Liberar ordem,"Validar equipamento, estoque, sanitização e responsável.",Falha lista bloqueios; sucesso emite evento e auditoria.,"planning, recipe, equipment, inventory",Sprint 03
05,Planejamento e ordens,BOP-003,Cancelar ordem,Cancelar com motivo e liberar reservas.,Ordem iniciada segue regra específica; operação é idempotente.,"planning, recipe, equipment, inventory",Sprint 03
05,Planejamento e ordens,PLN-001,Agenda de produção,"Planejar receita, volume, equipamento, equipe e data.",Conflito de equipamento é sinalizado; simulação não altera estado.,"planning, recipe, equipment, inventory",Sprint 03
05,Planejamento e ordens,PLN-002,Necessidade de materiais,Explodir receita e perdas em necessidade por item.,Unidades são convertidas; faltas aparecem sem reservar.,"planning, recipe, equipment, inventory",Sprint 03
06,"Estoque, lotes e compras",PUR-001,Necessidade de compra,"Gerar sugestão por estoque, OP e lead time.",Sugestão não cria pedido sem confirmação.,"inventory, purchasing",Sprints 02 e 05
06,"Estoque, lotes e compras",PUR-002,Lista de compras,Consolidar necessidades por fornecedor e embalagem.,Não mistura produtos por nome e não cria pedido sem confirmação.,"inventory, purchasing",Sprint 04 e PUR-001
06,"Estoque, lotes e compras",STK-001,Receber lote,"Registrar fornecedor, validade, quantidade, custo e inspeção.",Quantidade positiva; lote bloqueado não fica disponível.,"inventory, purchasing",Sprints 02 e 05
06,"Estoque, lotes e compras",STK-002,Ledger de movimentos,"Implementar entrada, reserva, consumo, devolução, perda e ajuste.",Saldo deriva do ledger; não existe update direto de saldo.,"inventory, purchasing",Sprints 02 e 05
06,"Estoque, lotes e compras",STK-003,Reserva FEFO,Reservar lotes para OP com concorrência segura.,Duas OPs não consomem a mesma disponibilidade; vencido é bloqueado.,"inventory, purchasing",Sprints 02 e 05
06,"Estoque, lotes e compras",STK-004,Inventário físico,"Contar, conciliar e ajustar com aprovação.",Diferença gera movimento e auditoria; contagem original permanece.,"inventory, purchasing",Sprints 02 e 05
06,"Estoque, lotes e compras",STK-005,Referência e lote real,"Vincular ingrediente técnico a safra, COA e validade recebidos.",Valor do lote não é sobrescrito pela atualização do catálogo.,"inventory, reference-data",Sprint 04
07,Brassagem assistida,CAL-002,Correções de execução,"Aplicar cálculos de diluição, concentração, reposição e fervura.","Motor versionado, impacto visível e nenhuma ação física automática.","production, calculation",Sprint 04
07,Brassagem assistida,PRD-001,Iniciar lote,Criar Batch e roteiro a partir da OP liberada.,Transição única; snapshot preservado; reservas confirmadas.,"production, recipe, equipment",Sprints 05 e 06
07,Brassagem assistida,PRD-002,Modo passo a passo,"Exibir etapa, meta, tolerância, instrução e cronômetro.",Retomada mantém estado; avanço inválido é bloqueado.,"production, recipe, equipment",Sprints 05 e 06
07,Brassagem assistida,PRD-003,Registrar medição,"Guardar valor, unidade, temperatura, método, origem e operador.",Medição é imutável; unidade incompatível é rejeitada.,"production, recipe, equipment",Sprints 05 e 06
07,Brassagem assistida,PRD-004,Correções determinísticas,"Calcular diluição, concentração, temperatura, volume e sais.",Impactos são mostrados; nenhuma correção é aplicada sem confirmação.,"production, recipe, equipment",Sprints 05 e 06
07,Brassagem assistida,PRD-005,Transferência ao fermentador,"Registrar volume, OG, perdas e destino.",Capacidade do destino e balanço de massa são verificados.,"production, recipe, equipment",Sprints 05 e 06
07,Brassagem assistida,PRD-006,Alertas e cronômetros,"Centralizar adições, etapas e ações pendentes.",Alertas sobrevivem à reconexão e confirmação é idempotente.,production,Sprint 05 e 06
08,"Limpeza, sanitização e manutenção",CLN-001,POP versionado,"Cadastrar sequência, produto, limites, EPIs, alternativa e proibição.",Ciclo referencia versão; parâmetro fora da ficha é bloqueado.,"sanitation, equipment, quality",Sprints 02 e 07
08,"Limpeza, sanitização e manutenção",CLN-002,Matriz por equipamento,"Recomendar método por material, risco, sujidade e produto anterior.",Alternativa explica restrições; madeira/plástico não herdam inox.,"sanitation, equipment, quality",Sprints 02 e 07
08,"Limpeza, sanitização e manutenção",CLN-003,Executar ciclo,"Registrar tempo, temperatura, vazão, química e evidências.",Etapas fora de ordem exigem motivo; interrupção é preservada.,"sanitation, equipment, quality",Sprints 02 e 07
08,"Limpeza, sanitização e manutenção",CLN-004,Verificar e liberar,"Validar enxágue, visual, ATP/micro e aprovação.",Sanitização não passa com limpeza reprovada; liberação é auditada.,"sanitation, equipment, quality",Sprints 02 e 07
08,"Limpeza, sanitização e manutenção",CLN-005,Consumo e otimização,"Medir água, energia e produto por ciclo.",Comparação não reduz parâmetro sem nova versão aprovada.,"sanitation, equipment, quality",Sprints 02 e 07
09,"Fermentação, adega e levedura",FER-001,Perfil de fermentação,"Configurar estágios, rampas, pressão e critérios.",Avanço usa condição e confirmação; histórico não é reescrito.,"fermentation, yeast, equipment",Sprints 07 e 08
09,"Fermentação, adega e levedura",FER-002,Leituras e curvas,"Registrar densidade, temperatura, pressão e pH.",Gráfico diferencia manual/sensor; leituras inválidas são sinalizadas.,"fermentation, yeast, equipment",Sprints 07 e 08
09,"Fermentação, adega e levedura",FER-003,Estabilidade de FG,Avaliar janela e tolerância configuráveis.,Resultado explica leituras usadas; não encerra automaticamente.,"fermentation, yeast, equipment",Sprints 07 e 08
09,"Fermentação, adega e levedura",FER-004,Agenda de fermentação,"Planejar rampas, dry hop, cold crash e transferência.",Alterações mostram prévia e preservam planejado versus realizado.,fermentation,Sprint 07 e 08
09,"Fermentação, adega e levedura",YST-001,Coletar levedura,"Registrar origem, geração, condição, viabilidade e armazenamento.",Genealogia é completa; coleta reprovada não fica disponível.,"fermentation, yeast, equipment",Sprints 07 e 08
09,"Fermentação, adega e levedura",YST-002,Recomendar reutilização,"Combinar idade, geração, testes e desempenho.",Recomendação é explicável; uso exige confirmação e lote vinculado.,"fermentation, yeast, equipment",Sprints 07 e 08
10,"Envase, CO₂, oxigênio e vida útil",FSL-001,Oxigênio e validade,"Registrar DO/TPO, purga, vedação e plano de vida útil.",Validade é recomendada com evidência; override é auditado.,"packaging, gas, quality",Sprint 09
10,"Envase, CO₂, oxigênio e vida útil",GAS-001,Rede e cilindros,"Rastrear cilindro, regulador, manifold, pressão e consumo.",Cilindro vencido/bloqueado não é alocado; teste de vazamento registrado.,"packaging, gas, quality",Sprint 09
10,"Envase, CO₂, oxigênio e vida útil",GAS-002,Balanceamento de linha,"Calcular pressão, temperatura, resistência e comprimento.",Método e limites são explícitos; nenhum regulador é controlado.,"gas, calculation",Sprint 09
10,"Envase, CO₂, oxigênio e vida útil",PKG-001,Planejar envase,"Definir embalagem, quantidade, linha e checklist.",Disponibilidade e limpeza são verificadas; lote de embalagem reservado.,"packaging, gas, quality",Sprint 09
10,"Envase, CO₂, oxigênio e vida útil",PKG-002,Carbonatação,Calcular priming ou pressão forçada com método versionado.,Temperatura e CO₂ residual entram no cálculo; confirmação obrigatória.,"packaging, gas, quality",Sprint 09
10,"Envase, CO₂, oxigênio e vida útil",PKG-003,Executar envase,"Registrar unidades, volume, perdas, rejeitos e embalagem.",Balanço de volume fecha; consumo de embalagem vira movimento.,"packaging, gas, quality",Sprint 09
10,"Envase, CO₂, oxigênio e vida útil",PKG-004,Designer de rótulo,Gerar rótulo e ficha a partir do lote liberado.,"Campos rastreáveis, template versionado e reimpressão auditada.","packaging, traceability",Sprint 09
11,"Qualidade, metrologia e sensorial",MTR-001,Cadastro metrológico,"Registrar faixa, resolução, precisão, calibração e padrões.",Instrumento vencido bloqueia ponto crítico; certificado permanece.,"quality, metrology, sensory",Sprints 07–10
11,"Qualidade, metrologia e sensorial",MTR-002,Correção de leitura,Aplicar temperatura/curva sem apagar valor original.,Resultado mostra fórmula e versão; original é imutável.,"quality, metrology, sensory",Sprints 07–10
11,"Qualidade, metrologia e sensorial",QLT-001,Plano de controle,"Definir parâmetro, faixa, frequência e ação por produto/etapa.",Medição fora da faixa abre desvio conforme severidade.,"quality, metrology, sensory",Sprints 07–10
11,"Qualidade, metrologia e sensorial",QLT-002,Não conformidade e CAPA,"Conter, investigar, agir e verificar eficácia.",Status e prazos controlados; encerramento exige verificação.,"quality, metrology, sensory",Sprints 07–10
11,"Qualidade, metrologia e sensorial",SEN-001,Sessão sensorial,"Criar amostras cegas, ficha, resultado e comparação.",Resultado não aparece antes do fechamento; vínculo ao lote preservado.,"quality, metrology, sensory",Sprints 07–10
11,"Qualidade, metrologia e sensorial",SEN-002,Descritores e off-flavors,Manter biblioteca sensorial com fonte e hipóteses.,Conteúdo respeita licença e não produz diagnóstico automático.,"sensory, reference-data",Sprint 04
12,"Rastreabilidade, segurança e recall",FDS-001,Matriz de alergênicos,"Mapear ingrediente, equipamento compartilhado e limpeza.",Troca de produto exige procedimento compatível; rótulo é revalidado.,"traceability, food-safety, quality",Sprints 06–11
12,"Rastreabilidade, segurança e recall",FDS-002,Quarentena,Bloquear lote e descendentes durante investigação.,Envase/expedição são impedidos; liberação exige alçada.,"traceability, food-safety, quality",Sprints 06–11
12,"Rastreabilidade, segurança e recall",FDS-003,Abrir recall,"Identificar origem, destinos, contatos e ações.",Escopo é reproduzível; toda comunicação e decisão é auditada.,"traceability, food-safety, quality",Sprints 06–11
12,"Rastreabilidade, segurança e recall",FDS-004,Simulado de recall,"Medir tempo, cobertura e lacunas sem afetar estoque real.",Relatório apresenta percentual localizado e ações corretivas.,"traceability, food-safety, quality",Sprints 06–11
12,"Rastreabilidade, segurança e recall",TRC-001,Genealogia completa,"Ligar insumo, OP, lote, blend e embalagem.",Consulta funciona para trás e frente; ausência de elo é evidenciada.,"traceability, food-safety, quality",Sprints 06–11
13,"Custos, relatórios e sustentabilidade",CST-001,Custo realizado,"Somar insumo, embalagem, utilidade, perda e mão de obra.",Origem de cada parcela é rastreável; snapshot fecha com lote.,"costing, reporting, utilities",Sprints 06–12
13,"Custos, relatórios e sustentabilidade",CST-002,Planejado versus real,"Explicar variação de preço, consumo, rendimento e perda.",Totais conciliam com ledger e snapshot.,"costing, reporting, utilities",Sprints 06–12
13,"Custos, relatórios e sustentabilidade",RPT-001,Relatório do lote,"Consolidar plano, execução, qualidade, custo e genealogia.",Filtro respeita permissão; exportação é auditada.,"costing, reporting, utilities",Sprints 06–12
13,"Custos, relatórios e sustentabilidade",RPT-002,Dashboard operacional,"Mostrar produção, estoque, desvios, fermentação e custo.","Indicadores têm definição, período e drill-down.","costing, reporting, utilities",Sprints 06–12
13,"Custos, relatórios e sustentabilidade",RPT-003,Relatórios programados,Salvar filtros e entregar relatórios autorizados.,"Timezone, versão, autorização, retenção e idempotência são explícitos.",reporting,Sprints 06–12
13,"Custos, relatórios e sustentabilidade",UTL-001,Água/energia/CO₂ por litro,Medir consumo por processo e produto envasado.,Indicador diferencia medido e estimado; período é reproduzível.,"costing, reporting, utilities",Sprints 06–12
14,Copiloto de IA e RAG,AIA-001,Gateway de modelos,"Abstrair provedor, timeout, custo, schema e fallback.",Provedor desabilitado não quebra fluxo; resposta inválida é rejeitada.,"ai, knowledge, calculation ports",Dados confiáveis das sprints 03–13
14,Copiloto de IA e RAG,AIA-002,Avaliar receita/lote,Usar fatos determinísticos e histórico para explicar riscos.,Nenhum número é inventado; cálculos referenciam serviço de domínio.,"ai, knowledge, calculation ports",Dados confiáveis das sprints 03–13
14,Copiloto de IA e RAG,AIA-003,Propor comando,Retornar comando estruturado sujeito a confirmação.,Nova autorização ocorre ao confirmar; interação e aceite são auditados.,"ai, knowledge, calculation ports",Dados confiáveis das sprints 03–13
14,Copiloto de IA e RAG,RAG-001,Indexar documentos,"Processar POP, manual, ficha e laudo com metadados tenant.",Documento sem permissão não é recuperado; versão/vigência preservadas.,"ai, knowledge, calculation ports",Dados confiáveis das sprints 03–13
14,Copiloto de IA e RAG,RAG-002,Responder com evidência,"Mostrar fontes, trechos e separar inferência.","Sem fonte, resposta declara limitação; prompt injection não ganha ferramenta.","ai, knowledge, calculation ports",Dados confiáveis das sprints 03–13
15,"Integrações, sensores e PWA offline",INT-001,Ingestão de sensor,"Receber densidade, temperatura, pressão e vazão.",Mensagem duplicada é idempotente; qualidade e atraso são sinalizados.,"integration, pwa, sensor",Sprints 07–14
15,"Integrações, sensores e PWA offline",INT-002,Webhooks,Publicar eventos assinados com retry controlado.,Falha não bloqueia domínio; destino e tentativas são auditados.,"integration, pwa, sensor",Sprints 07–14
15,"Integrações, sensores e PWA offline",INT-003,QR code,"Abrir equipamento, lote, OP e embalagem.",Código não concede acesso; autorização é verificada após leitura.,"integration, pwa, sensor",Sprints 07–14
15,"Integrações, sensores e PWA offline",INT-004,Brewfather API v2,Importar receitas do próprio usuário com escopo mínimo.,"Read-only, paginação, rate limit, segredo em cofre e mapeamento canônico.",integration,Sprint 04
15,"Integrações, sensores e PWA offline",INT-005,Brewer's Friend API v1,Importar receitas e sessões autorizadas.,API antiga é risco; perda é reportada; escrita começa desabilitada.,integration,Sprint 04
15,"Integrações, sensores e PWA offline",INT-006,Adapters HTTP/MQTT,Receber leituras de dispositivos por contrato canônico.,"Idempotência, relógio, qualidade, segurança e limites são testados.","integration, sensor",Sprint 09
15,"Integrações, sensores e PWA offline",INT-007,Central de sincronização,"Gerir integrações, execuções, cursores e conflitos.","Usuário testa, pausa, revoga e resolve conflito sem expor segredo.",integration,INT-004 a INT-006
15,"Integrações, sensores e PWA offline",PWA-001,Roteiro offline,"Disponibilizar OP, checklist e etapas essenciais.","Sem rede, leitura funciona; dados sensíveis seguem protegidos.","integration, pwa, sensor",Sprints 07–14
15,"Integrações, sensores e PWA offline",PWA-002,Fila offline,Registrar apontamentos e sincronizar com idempotência.,Conflito não sobrescreve silenciosamente; usuário resolve quando preciso.,"integration, pwa, sensor",Sprints 07–14
16,"Inteligência, experimentos e blend",BLD-001,Blend/reprocesso,"Simular, aprovar e executar união/divisão mantendo genealogia.","Balanço fecha; rótulo, alergênico e recall são recalculados.","digital-twin, experiments, blend, field-quality",Histórico suficiente das sprints anteriores
16,"Inteligência, experimentos e blend",DTW-001,Perfil aprendido,"Estimar eficiência, perdas e tempos com faixa de confiança.",Modelo é versionado; poucos dados geram baixa confiança explícita.,"digital-twin, experiments, blend, field-quality",Histórico suficiente das sprints anteriores
16,"Inteligência, experimentos e blend",EXP-001,Lote dividido,"Planejar hipótese, controle, variante, medições e sensorial.",Uma variável pode ser isolada; conclusão registra limitações.,"digital-twin, experiments, blend, field-quality",Histórico suficiente das sprints anteriores
16,"Inteligência, experimentos e blend",FLD-001,Feedback de campo,"Relacionar reclamação, armazenamento e amostra ao lote.",Severidade pode abrir CAPA/quarentena; dados pessoais são protegidos.,"digital-twin, experiments, blend, field-quality",Histórico suficiente das sprints anteriores
16,"Inteligência, experimentos e blend",OPT-001,Otimização assistida,"Otimizar custo, disponibilidade ou alvo sob restrições.","Resultado reproduzível, explicável e aplicado somente em nova versão.","recipe, optimization",Histórico suficiente e Sprint 04
16,"Inteligência, experimentos e blend",SPC-001,Controle estatístico,Detectar tendência e variação fora do padrão.,Limite de controle não é confundido com especificação.,"digital-twin, experiments, blend, field-quality",Histórico suficiente das sprints anteriores
17,Hardening e primeira produção,REL-001,Teste de restauração,Restaurar banco e arquivos em ambiente isolado.,RPO/RTO medidos; procedimento reproduzível e auditado.,todos,Sprints selecionadas para o release
17,Hardening e primeira produção,REL-002,Performance,Medir jornadas críticas e corrigir gargalos reais.,Metas NFR atendidas com dataset representativo.,todos,Sprints selecionadas para o release
17,Hardening e primeira produção,REL-003,Segurança,"Executar revisão OWASP, tenant, segredo, upload e dependências.",Achados críticos/altos resolvidos ou release bloqueado.,todos,Sprints selecionadas para o release
17,Hardening e primeira produção,REL-004,Migração e rollback operacional,"Ensaiar deploy, migration e retorno de aplicação.",Runbook testado; forward-fix de banco documentado.,todos,Sprints selecionadas para o release
17,Hardening e primeira produção,REL-005,Aceite do usuário,Executar ciclo completo de produção em homologação.,Evidências anexadas; bloqueadores encerrados; manual mínimo entregue.,todos,Sprints selecionadas para o release
18,Comunidade e colaboração,COM-001,Biblioteca pública e privada,Publicar snapshot sanitizado de receita.,"Custo, estoque, fornecedor e dados pessoais não são expostos.","community, recipe",Sprint 17
18,Comunidade e colaboração,COM-002,Links e permissões,Compartilhar acesso revogável e com validade.,Link não ignora autorização e expira conforme regra.,"community, security",COM-001
